id	category	title	description	steps	materials	time_mins	level	goal	success	frequency	xp	tags
T001	MOR	Make Your Bed	Start the day by making your bed look neat and tidy.	1. Stand at the foot of your bed|2. Pull the duvet or blankets up toward the pillow|3. Straighten the sides so they hang evenly|4. Fluff and place your pillow neatly|5. Step back and check it looks tidy	none	5	1	Building a morning habit and a sense of order	Your bed looks neat with no duvet hanging on the floor	daily	15	morning,routine,tidiness,independence
T002	MOR	Eat a Real Breakfast	Eat a proper breakfast before school or any activity.	1. Choose something that includes protein or complex carbs — eggs, toast, porridge, yoghurt, cereal|2. Make sure you have a drink — water or milk|3. Sit down and eat without screens|4. When finished, rinse your bowl or plate	cereal or bread or other food, bowl, spoon, drink	10	1	Fuelling your brain and body for the day	You have eaten a full breakfast sitting down	daily	15	morning,nutrition,brain fuel,routine
T003	MOR	Drink a Glass of Water First	Before anything else, drink a full glass of water when you wake up.	1. Go to the kitchen|2. Fill a glass with water|3. Drink all of it before you eat or check your phone|4. Notice how your body feels afterward	glass, water	2	1	Hydration and morning body care	You have drunk a full glass of water before doing anything else	daily	15	morning,hydration,self-care,habits
T004	MOR	Get Dressed Before Screens	Get fully dressed and ready before looking at any screens.	1. When you wake up, go straight to get dressed|2. Put on clean clothes including socks and shoes if needed|3. Check you have everything you need|4. Only then can you check your phone or TV	clothes	5	1	Building self-discipline and a reliable morning sequence	You are fully dressed including shoes before touching any screen	daily	15	morning,routine,self-discipline,screens
T005	MOR	Write Down Your Top 3 Today	Each morning, write down three things you want to do or remember today.	1. Get your notebook or a piece of paper|2. Write today's date at the top|3. Write down three things — one thing you must do, one you want to do, one you are looking forward to|4. Keep the paper somewhere you can see it during the day	notebook or paper, pen or pencil	5	2	Planning, prioritising and setting intentions	You have written three clear things for today in your own words	daily	25	morning,planning,intention,focus
T006	MOR	5-Minute Stretch or Walk	Before sitting down to work or school, do 5 minutes of gentle movement.	1. Find a clear space|2. Roll your shoulders backward 5 times|3. Reach both arms above your head and hold for 5 seconds|4. Do 10 slow neck rolls, 5 each direction|5. March on the spot for 1 minute|6. Touch your toes or reach as far as you can, hold for 10 seconds	none	5	1	Getting your body and brain awake and energised	You have done all five movements without rushing	daily	15	morning,movement,wellbeing,brain activation
T007	MOR	Tidy Your Bedroom in 5 Minutes	Do a quick 5-minute tidy of your bedroom to start the day clear.	1. Set a timer for 5 minutes|2. Put any clothes on the floor either in the laundry or folded away|3. Put books, bags or devices where they belong|4. Clear your desk if you have one|5. Stop when the timer goes, even if not perfect	timer (phone or clock)	5	1	Creating an ordered space that helps your brain feel calm	Clothes are off the floor and things are generally in their right place	daily	15	morning,tidiness,bedroom,habits
T008	SCH	Pack Your School Bag the Night Before	Get your bag fully packed before you go to bed so mornings are calm.	1. Check your timetable or homework diary for tomorrow|2. Find every book, folder or item you need|3. Pack them one by one into your bag|4. Add your packed lunch or lunch money if needed|5. Put your bag by the door so it is ready to grab	school bag, timetable or diary	10	1	Organisation, reducing morning stress, independence	Your bag is fully packed and by the door before bedtime	daily	15	school,organisation,planning,independence
T009	SCH	Check Homework is Complete	Before school, double-check that all homework due today is finished and in your bag.	1. Look at your planner or diary|2. Check every subject due today|3. Find each piece of homework and read it through quickly|4. Put it in your bag or folder|5. If something is not done, tell a trusted adult now rather than later	planner or diary, school bag	5	1	Accountability, honesty and being prepared	You have checked all homework and either it is done or you have told someone it is not	daily	15	school,homework,accountability,preparation
T010	SCH	Sort Your Desk Before You Study	Clear and organise your workspace before starting any school work.	1. Clear everything off your desk|2. Put away anything that does not belong there|3. Get out only what you need for this work|4. Make sure you have a pen, pencil and any books you need|5. Sit down and start	desk or table, pens, books needed	5	1	Creating conditions for focused work	Your desk has only what you need for the task in front of you	as_needed	15	school,focus,organisation,study space
