id	category	subcategory	audience	difficulty	question_template	variable_slots	correct_logic	distractor_logic	option_format	xp_value	time_seconds	is_boss	hint	explanation	tags
GB-001	Working Memory	Verbal Recall	both	1	You just heard this list of words: {{WORDS_4}}. Which word was FIRST in the list?	WORDS_4	words[0]	other_words_from_list	word	10	20	false	The first word is the one you heard before any others.	Working memory stores things in the order you received them. Recalling the first item tests the start of your memory sequence.	recall, sequence, verbal
GB-002	Working Memory	Verbal Recall	both	1	You just heard this list of words: {{WORDS_4}}. Which word was LAST in the list?	WORDS_4	words[3]	other_words_from_list	word	10	20	false	The last word is the final one in the sequence.	The last item in a list is often easiest to recall — this is called the recency effect. Notice if you find it easier than recalling the first.	recall, sequence, verbal
GB-003	Working Memory	Verbal Recall	both	2	You just heard this list of words: {{WORDS_5}}. Which word was THIRD in the list?	WORDS_5	words[2]	other_words_from_list	word	25	18	false	Count along the list: 1st, 2nd, 3rd — stop there.	Middle items in a list are hardest to recall — this is the serial position effect. Practising middle recall directly strengthens working memory.	recall, sequence, middle, verbal
GB-004	Working Memory	Verbal Recall	adult	2	You just heard this list of words: {{WORDS_6}}. Which word was FOURTH in the list?	WORDS_6	words[3]	other_words_from_list	word	25	18	false	Count through: 1, 2, 3, 4 — which word lands on 4?	Recalling the 4th of 6 items targets the challenging middle zone of verbal working memory.	recall, sequence, verbal, adult
GB-005	Working Memory	Verbal Recall	both	3	You just heard this list: {{WORDS_6}}. Which of these was NOT in the list?	WORDS_6,DECOY_WORD	decoy_word	words_from_list	word	50	15	false	One of the options was never in the list — it is the intruder.	Identifying an item that was NOT in a set is harder than recall — it requires you to hold the full list and compare against it.	recognition, decoy, verbal, boss
GB-006	Working Memory	Number Sequences	both	1	Here is a number sequence: {{NUMBERS_4}}. What number comes NEXT if the pattern continues?	NUMBERS_4_ARITHMETIC	next_in_sequence	near_misses_of_next	number	10	22	false	Look at the gap between each number — is it always the same?	Arithmetic sequences increase or decrease by the same amount each step. Finding the pattern then extending it is a core working memory + reasoning skill.	numbers, pattern, sequence
GB-007	Working Memory	Number Sequences	both	2	Here is a number sequence: {{NUMBERS_5}}. What is the MISSING number: {{SEQ_WITH_GAP}}?	NUMBERS_5_ARITHMETIC_GAP	missing_value	near_misses	number	25	20	false	Find the step size between the numbers you can see, then fill the gap.	Identifying a missing item inside a sequence is harder than extending one — it requires pattern recognition in both directions.	numbers, missing, pattern, sequence
GB-008	Working Memory	Number Sequences	adult	3	Here is a sequence: {{NUMBERS_6}}. The pattern is NOT simple addition. What comes next?	NUMBERS_6_MULTIPLY	next_in_sequence	near_misses_of_next	number	50	18	false	Try multiplying rather than adding — what is the relationship?	Multiplicative sequences require holding more complex rules in working memory, training more demanding cognitive control.	numbers, multiply, pattern, boss
GB-009	Working Memory	Digit Span	both	1	Listen to this number: {{DIGITS_4}}. Type it back in the SAME order. Which of these is correct?	DIGITS_4	exact_digit_string	scrambled_variants	digit_string	10	15	false	Repeat exactly what you heard — same order, no changes.	Digit span forward is the simplest working memory test. Most people can hold 5–7 digits. Track your limit over time.	digits, span, forward, recall
GB-010	Working Memory	Digit Span	both	2	Listen to this number: {{DIGITS_5}}. Now reverse it and choose the BACKWARDS version.	DIGITS_5	reversed_digit_string	partial_reversal_variants	digit_string	25	18	false	Flip the whole number — last digit becomes first.	Backwards digit span requires active manipulation, not just passive storage — it is significantly harder and more trainable.	digits, span, backward, manipulation
