id	category	subcategory	level	audience	question	option_a	option_b	option_c	option_d	correct	explanation	hint	xp	tags
Q001	EMO	Identifying feelings	1	youth	You finish a test and your heart is beating fast and your hands feel sweaty. What feeling is your body probably showing?	Bored	Nervous	Sleepy	Angry	b	A fast heartbeat and sweaty hands are signs your body is feeling nervous or anxious. Your brain is sending your body a signal that something important is happening — it is trying to help you!	Think about how your body feels before something important happens.	10	emotions,body signals,anxiety
Q002	EMO	Identifying feelings	1	youth	Your friend gets the last biscuit and you do not. You feel a tight hot feeling in your chest. What feeling is this most likely to be?	Happiness	Jealousy	Excitement	Surprise	b	Jealousy is the feeling we get when someone else has something we want. It often feels like a tight or hot feeling in the chest. It is a completely normal feeling — everyone feels it sometimes!	This feeling happens when someone else has something you want.	10	emotions,jealousy,fairness
Q003	EMO	Identifying feelings	1	youth	You spent a whole week making a drawing and it turns out really well. What feeling would most people have in this moment?	Sadness	Anger	Pride	Fear	c	Pride is the warm, happy feeling you get after working hard and doing something well. You put in the effort — and you earned that feeling!	This feeling comes after working hard on something.	10	emotions,pride,achievement
Q004	EMO	Mixed emotions	2	youth	A classmate says something mean about you in front of everyone. Your face goes red and you want to shout. Which TWO feelings are you most likely experiencing at the same time?	Joy and surprise	Embarrassment and anger	Pride and happiness	Calm and tiredness	b	When someone is unkind to us in front of others, we can feel embarrassed (that is the going-red part) AND angry at the same time. Having two feelings at once is completely normal — feelings do not always arrive one at a time!	One feeling is about being seen by others. The other is about being treated unfairly.	20	emotions,embarrassment,anger,mixed feelings
Q005	EMO	Nervous excitement	2	youth	You are about to go on stage for the school show. Your tummy feels like it is full of butterflies. This feeling can actually HELP you perform better because...	It means you should go home and rest	It means your body is giving you extra energy and focus	It means you ate too much at lunch	It means you are getting ill	b	That butterfly feeling before something important is your body giving you extra energy and sharpening your attention. Scientists call this nervous excitement — and research shows it can actually make you perform better!	Your body is getting you ready for something important. How might extra energy help?	20	emotions,anxiety,performance,nervous excitement
Q006	EMO	Loss and grief	2	youth	Your best friend moves to a different school. Every day you miss them and feel heavy inside. What is this feeling called?	Jealousy	Guilt	Grief or a sense of loss	Boredom	c	When someone we care about leaves, or something important changes, we can feel grief or a deep sense of loss. It is a heavy, sad feeling — and it is okay to feel it. It shows how much that person meant to you.	This is how we feel when something or someone important is no longer there.	20	emotions,grief,loss,change
Q007	EMO	Guilt	2	youth	You borrowed your sister's pencil case without asking and then lost it. Now every time you see her you feel terrible inside. What is this feeling?	Guilt	Excitement	Relief	Curiosity	a	Guilt is the uncomfortable feeling we get when we know we have done something wrong. It feels bad on purpose — your brain is telling you to make things right. That is actually a useful feeling!	This feeling comes when you know you have done something that was not right.	20	emotions,guilt,responsibility,making things right
Q008	EMO	Calm and groundedness	3	youth	You feel calm, safe and settled. Your breathing is slow and your muscles feel relaxed. This is sometimes called feeling...	Tired	Grounded	Bored	Nervous	b	Feeling grounded means being calm, safe and present in the moment. It is the opposite of feeling anxious or overwhelmed. When you feel grounded, your brain is in its best state for thinking and learning.	This feeling is the opposite of anxious. Think about standing firmly on both feet.	30	emotions,calm,regulation,grounded
Q009	SIT	Reading the room	1	youth	You walk into the classroom and everyone is sitting quietly while the teacher writes on the board. What should you do?	Say hello loudly to your friends	Sit down quietly and get your things out	Ask the teacher what they are writing	Start unpacking your bag and making noise	b	Reading the room means looking at what is happening around you and matching it. When everyone is quiet and the teacher is working, the room is telling you it is time to be quiet too.	Look at what everyone else is doing. What does the room feel like?	10	situations,reading the room,social awareness
Q010	SIT	Body language signals	2	youth	You are telling a story and you notice two friends are looking away and one is checking their phone. What does this probably mean?	They are all thinking carefully about your story	They may not be very interested right now	They are being rude on purpose	They are listening very carefully	b	When people look away or check their phones while you are talking, they are usually showing you their attention has drifted. It does not necessarily mean they are being unkind — they may just need a change. Noticing this is a real skill!	What are people's eyes and body showing you?	20	situations,body language,social signals,attention
Q011	SIT	Timing	2	youth	You have brilliant news to share. But your teacher looks very busy and stressed right now. What should you do?	Tell them immediately — your news is important	Wait until they look less busy, then share it	Say it loudly so the teacher hears while they work	Give up — they probably will not care anyway	b	Even the best news can land badly if the person you are telling is not ready to hear it. Waiting for the right moment is a sign of emotional intelligence — it shows you are thinking about the other person, not just yourself.	Is right now actually a good moment for the other person?	20	situations,timing,emotional intelligence,empathy
Q012	SIT	Supporting friends	1	youth	Your friend has been very quiet all day and said no to playing at lunch. What is the BEST thing to do?	Ignore them and play with someone else	Keep asking until they say yes	Gently check in and ask if they are okay	Tell the teacher your friend is being weird	c	When a friend goes quiet, they might be having a hard day. A gentle check-in shows you noticed and you care. You do not have to fix anything — just letting someone know you see them can make a big difference.	What would you want someone to do if you were having a hard day?	10	situations,friendship,empathy,checking in
Q013	SIT	Reading the room	2	youth	You are in a serious meeting with the headteacher and your parent. The adults are talking about something important. You suddenly remember something funny. You should...	Interrupt and share the funny story — it will cheer everyone up	Keep it to yourself and save it for the right moment	Leave the room to tell someone else	Text your friend about it straight away	b	Reading the room means knowing when something is NOT the right moment — even for funny or exciting things. Saving a story for later shows you can manage your own impulses and think about the situation you are in.	Is this the right time and place for a funny story?	20	situations,reading the room,impulse control,timing
Q014	SIT	Helping others save face	3	youth	You are at a family dinner. Your aunty asks your cousin how school is going. Your cousin looks embarrassed and goes quiet. You know they have been struggling at school. What is the kindest thing to do?	Tell everyone about your cousin's school difficulties	Smoothly change the subject to something else	Ask your aunty to stop asking questions	Leave the table	b	Changing the subject to help someone out of an awkward moment is a kind and socially clever skill. You protect your cousin without making a bigger deal of it — that is real social intelligence.	How can you help your cousin without drawing more attention to the situation?	30	situations,empathy,social intelligence,protecting others
Q015	SIT	Self-awareness	3	youth	You notice that every time you join a group conversation, people stop talking or move away. This might be a sign that...	Everyone dislikes you and you should give up	You might be joining conversations in a way that is not quite working — and it is worth thinking about how	The group has a secret	You are too clever for them	b	If a pattern keeps repeating, it is useful information. It does not mean something is terribly wrong — but it is worth asking yourself how you are joining conversations. Are you interrupting? Coming in too loudly? Adjusting how you join can change everything.	Think about the how, not just the what.	30	situations,self-awareness,social skills,patterns
Q016	SIT	Generosity and awareness	2	youth	The teacher asks a question and you know the answer. Your hand goes up immediately. But you notice another student really wants a turn today. What could you do?	Keep your hand up — you were there first	Put your hand down and let the other student try	Shout the answer out so you definitely go first	Tell the teacher the other person wants a go	b	Knowing the answer and choosing to let someone else have a turn shows generosity and awareness. You already know it — letting someone else experience that moment of getting it right is a gift.	You can be kind AND clever at the same time.	20	situations,generosity,awareness,sharing
Q017	TASK	Getting started	1	youth	Your bedroom is very messy and you need to tidy it. It looks so overwhelming you do not know where to start. The BEST first step is...	Sit on your bed and think about tidying for a while	Choose ONE small area — like just your desk — and start there	Wait until someone tells you exactly what to do	Do a tiny bit then watch TV as a reward	b	Big tasks feel impossible until you break them into pieces. Starting with just one small area creates momentum — and momentum makes the rest feel easier. The hardest part of any task is always getting started!	Do not think about the whole room. Just pick one small corner.	10	tasks,getting started,planning,breaking things down
Q018	TASK	Planning ahead	1	youth	You have a school project due on Friday. Today is Monday. What is the SMARTEST thing to do first?	Start on Thursday evening — you will remember it by then	Break it into small steps and work on one step each day	Do the whole thing in one go tonight	Ask a friend to help you last minute on Friday morning	b	Spreading work across several days means each piece feels small and manageable. Leaving it to the last minute causes stress and usually means a worse result. A little bit each day is one of the most powerful habits you can build.	How many days do you have? What could you do on each one?	10	tasks,planning,time management,homework
Q019	TASK	Staying on task	2	youth	You are halfway through tidying your room when you spot your favourite book. You REALLY want to read it. What should you do?	Read just one chapter — then carry on tidying	Leave the book and keep tidying until the job is done	Stop tidying — reading is more important	Hide the book so you are not tempted	b	This is a focus test! The job is not done yet — and one chapter almost always turns into more. Finishing the task first means you can enjoy the book in real free time. You will enjoy it even more when it is truly earned.	Finish what you started — then enjoy the reward.	20	tasks,focus,staying on task,distraction
Q020	TASK	Logical ordering	1	youth	You need to pack your school bag for tomorrow. Which order makes the most sense?	Check what you need, find each item, pack it, check once more	Throw everything in the bag and hope for the best	Ask a parent to do it	Pack what you remember and check in the morning	a	Good planning has a pattern: check what you need, gather each item, pack it, then verify. This system means you almost never forget things — and it takes less than five minutes once you practise it!	What is the logical order — what do you need to know before you can do each step?	10	tasks,organisation,packing,systems
Q021	TASK	Time estimation	2	youth	You planned to finish your homework in 20 minutes but it took 45 minutes. What should you do NEXT time?	Give up estimating — it clearly does not work	Add extra time when you plan — tasks almost always take longer than we think	Rush next time so it fits in 20 minutes	Just start later so it does not matter	b	Nearly everyone underestimates how long things take — even adults! The trick is to learn from experience and add a buffer of extra time. Good planners know that a 20-minute task often needs 35–40 minutes in reality.	What could you change about your time estimate next time?	20	tasks,time management,estimation,planning
Q022	TASK	Priority under time pressure	3	youth	You have 15 minutes before school and three things to do: eat breakfast, find your PE kit and brush your teeth. What is the BEST order?	PE kit first since finding it might take the longest, then breakfast, then teeth	Teeth first, then PE kit, then breakfast	Breakfast first since you are hungry, then teeth, then PE kit	It does not matter — just do them in any order	a	When time is tight, do the most uncertain task first. Finding a PE kit could take 1 minute or 10 — you do not know. Do that first while you have the most time. Then the rest is predictable and easy. This is real planning thinking!	Which task is least predictable? Do that one first.	30	tasks,planning,priority,time pressure
Q023	GOAL	Persistence	1	youth	You want to learn to ride a bike but you keep falling off. What should you do?	Give up — maybe you are just not a bike person	Keep practising a little each day — falling off is how you learn	Only try when you feel completely ready	Watch videos instead of practising	b	Every skill — riding a bike, reading, drawing, sport — is learned by trying, failing and trying again. Every fall is your brain and body gathering information. Progress happens through practice, not by waiting until you feel ready.	What does every expert have in common with every beginner?	10	goals,persistence,growth mindset,learning
Q024	GOAL	Bouncing back	2	youth	You set a goal to read one chapter every night. After three good nights you miss one. What should you do?	Give up on the goal — you already failed	Start a completely new goal instead	Pick up where you left off — one missed night does not end a goal	Read five chapters the next night to catch up	c	Missing one day does not mean you have failed a goal. Goals are about patterns over time, not perfect streaks. The most important thing is to keep going after a setback — that is what separates people who achieve things from those who do not.	What matters more — one missed day or the whole pattern over time?	20	goals,resilience,setbacks,persistence
Q025	GOAL	SMART goals	2	youth	A good goal is Specific, Measurable, Achievable, Relevant and Time-based. Which of these is the BEST goal?	I want to get better at Maths	I will practise my times tables for ten minutes every day this week	I will be the best at everything at school	I might try to do some reading sometimes	b	Practising times tables for 10 minutes every day this week is specific, measurable, achievable, relevant and time-based. Vague goals like want to get better are hard to achieve because you never know if you have done them or not!	Which option tells you exactly WHAT to do, HOW MUCH and WHEN?	20	goals,smart goals,planning,specificity
Q026	GOAL	Small steps	1	youth	You want to make a new friend. What is a good first small step?	Introduce yourself to ten people at once	Wait for someone to come to you	Smile and say hello to one person who seems friendly	Tell everyone about yourself so they get to know you	c	Big goals start with tiny actions. A smile and hello is low risk and high reward. You do not have to do everything at once — one small step is always the right place to start, and it leads naturally to the next one.	What is the smallest possible first step you could take?	10	goals,small steps,friendship,action
Q027	GOAL	Confidence and action	2	youth	You want to audition for the school play but you have never done it before and feel nervous. What is the most helpful thing to tell yourself?	I will probably fail so I should not bother	I cannot try until I feel completely confident	Being nervous is normal — I will try anyway and see what happens	Everyone will laugh at me	c	Waiting until you feel 100% confident before trying something new means you will never try anything. Nervousness shows that something matters to you — that is actually good. Trying IS the brave act, not just succeeding.	Does confidence come before action, or does it grow from taking action?	20	goals,confidence,courage,trying new things
